,Unnamed: 0,Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Delta,Time0,TimeDelta,TimeIndy,TimeIndy0,TimeIndyDelta,Distance0,DistanceDelta,IndySpeed,SpeedDelta
552,554,2018-10-20 22:00:00.000,0 days 01:14:59.936000,,,73.084,11787,156,3,100,False,8,pos,4.319178611111113,0.7897048470768747,OnTrack,3189.7020717929636,2309.7474536766867,1346,11.972868083589866,72.895,0.18900000000000716,85.05686808358988,84.83740641233273,0.21946167125715021,4.310988611111113,0.00818999999999992,134.34692186159637,21.65307813840363
553,555,2018-10-20 22:00:00.051,0 days 01:14:59.987000,,,73.135,11432,159,3,100,False,8,car,4.321431111111113,0.790129719063346,OnTrack,3203.8884423334907,2292.454975963879,1345,11.981090677246165,73.084,0.05100000000000193,85.11609067724618,85.05686808358988,0.059222593656301115,4.319178611111113,0.0022524999999999906,136.92409432556477,22.075905674435234
554,556,2018-10-20 22:00:00.291,0 days 01:15:00.227000,,,73.375,11204,174,4,100,False,8,car,4.333031111111112,0.7922479705542759,OnTrack,3276.8319063511935,2203.0934510490324,1345,12.019684567731765,73.135,0.23999999999999488,85.39468456773176,85.11609067724618,0.27859389048558114,4.321431111111113,0.01159999999999961,149.89560584839862,24.104394151601383
555,557,2018-10-20 22:00:00.299,0 days 01:15:00.235000,,,73.383,11397,178,4,100,False,8,pos,4.333426666666668,0.7923206583221797,OnTrack,3279.3076501138767,2200.0365643631285,1346,12.020965960928253,73.375,0.007999999999995566,85.40396596092825,85.39468456773176,0.009281393196488352,4.333031111111112,0.0003955555555554824,153.42524229428315,24.57475770571685
556,558,2018-10-20 22:00:00.531,0 days 01:15:00.467000,,,73.615,11591,183,4,100,False,8,car,4.345220000000001,0.7944757867774953,OnTrack,3352.3311936154632,2108.5282269840654,1346,12.057884510535217,73.383,0.23199999999999932,85.67288451053521,85.40396596092825,0.2689185496069655,4.333426666666668,0.011793333333333322,157.87679973007067,25.123200269929328
557,559,2018-10-20 22:00:00.599,0 days 01:15:00.535000,,,73.683,11845,187,4,100,False,8,pos,4.348752222222224,0.7951285524762313,OnTrack,3373.7639821405805,2080.8975599922846,1346,12.068593446264785,73.615,0.06800000000001205,85.75159344626479,85.67288451053521,0.07870893572957982,4.345220000000001,0.003532222222222714,161.5572600764177,25.44273992358231
558,560,2018-10-20 22:00:00.732,0 days 01:15:00.668000,,,73.816,12100,192,4,100,False,8,car,4.355845555555557,0.7964333433277341,OnTrack,3415.885278831172,2024.8731464387076,1345,12.089350771753892,73.683,0.13299999999999557,85.90535077175389,85.75159344626479,0.15375732548909582,4.348752222222224,0.00709333333333273,166.0798919255967,25.920108074403288
559,561,2018-10-20 22:00:00.899,0 days 01:15:00.835000,,,73.983,11540,196,4,100,False,8,pos,4.364937777777779,0.798121575513397,OnTrack,3467.548030944877,1951.618964061899,1346,12.115060461657801,73.816,0.1670000000000016,86.09806046165781,85.90535077175389,0.19270968990392134,4.355845555555557,0.009092222222222723,169.85134487176484,26.148655128235163
560,562,2018-10-20 22:00:00.971,0 days 01:15:00.907000,,,74.055,10980,201,5,100,False,8,car,4.36895777777778,0.7988700934085,OnTrack,3489.37215214717,1918.5930495716307,1346,12.126035485902841,73.983,0.07200000000000273,86.18103548590285,86.09806046165781,0.08297502424504444,4.364937777777779,0.004020000000000579,174.413929151294,26.586070848705987
561,563,2018-10-20 22:00:01.199,0 days 01:15:01.135000,,,74.283,11091,206,5,100,False,8,pos,4.382004444444446,0.8013201618735165,OnTrack,3554.976211152543,1808.2162155746203,1348,12.160419145674446,74.055,0.22799999999999443,86.44341914567445,86.18103548590285,0.2623836597716007,4.36895777777778,0.013046666666665985,179.00504947938515,26.99495052061485
